1.88888889,   0.        ,   0.        ,   0.        ,     0.        ,   0.        ,   0.        ,   0.        ,  -1.33333333,   0.        
0.        ,   6.88888889,   0.        ,   0.        ,     0.        ,   0.        ,   0.        ,   0.        ,   4.        ,   0.   
0.        ,   0.        ,   1.22222222,   0.        ,     0.        ,   0.        ,   0.        ,   0.        ,   0.        ,   2.        
0.        ,   0.        ,   0.        ,   1.11111111,     0.        ,   0.        ,   0.        ,   0.        ,   0.        ,   0.  
0.        ,   0.        ,   0.        ,   0.        ,     9.11111111,   0.        ,   0.        ,   0.        ,   0.        ,   0.  
0.        ,   0.        ,   0.        ,   0.        ,     0.        ,   1.31111111,   0.        ,   0.        ,   0.        ,   0.    
0.        ,   0.        ,   0.        ,   0.        ,     0.        ,   0.        ,   4.22222222,   0.        ,   0.88888889,   1.    
0.        ,   0.        ,   0.        ,   0.        ,     0.        ,   0.        ,   0.        ,   1.41111111,   0.        ,   0. 
-1.33333333,  4.        ,   0.        ,   0.        ,     0.        ,   0.        ,   0.88888889,   0.        ,  12.22222222,   0.   
0.        ,   0.        ,   2.        ,   0.        ,     0.        ,   0.        ,   1.        ,   0.        ,   0.        ,   0.11111111
